SKU,Product Name,Price,Quantity
SKU-4567-ABCD,ZenithGlow Facial Serum,12.99,14
SKU-8923-EFGH,LunaBloom Organic Tea Blend,27.5,3
SKU-1234-IJKL,Evergreen Essence Aromatherapy Candle,8.75,9
SKU-7890-MNOP,FrostyMist Cooling Eye Mask,19.95,18
SKU-5678-QRST,AuroraBite Healthy Snack Bars,35.2,7
SKU-2345-UVWX,NovaSprout Plant-Based Protein Powder,14.99,8
SKU-9012-YZAB,StellarSoothe Lavender Body Lotion,42.8,5
SKU-3456-CDEF,CrystalCalm Himalayan Salt Lamp,6.5,20
SKU-6789-GHIJ,OceanWhisper Sea Salt Scrub,29.99,12
SKU-0123-KLMN,MoonlitMeadow Herbal Sleep Aid,16.75,2
SKU-4567-OPQR,SunbeamSupreme Vitamin C Serum,10.25,16
SKU-8901-STUV,TwilightTranquil Relaxation Tea,38.5,8
SKU-2345-WXYZ,RainforestRush Natural Shower Gel,21.99,19
SKU-6789-ABCD,RadiantGrove Botanical Facial Mask,9.95,4
SKU-0123-EFGH,SereneSilk Luxury Silk Pillowcase,33.75,10
SKU-4567-IJKL,DawnDew Morning Energy Drink,17.5,1
SKU-8901-MNOP,SunsetSerenade Calming Room Spray,25.6,15
SKU-2345-QRST,MidnightMingle Gourmet Coffee Blend,11.8,6
SKU-6789-UVWX,BlossomBreeze Floral Room Diffuser,31.25,13
SKU-0123-YZAB,HarmonyHaven Meditation Cushion,22.45,17
